Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Payment_Method,Rating
10000,05-02-2025,C1000,Customer 1,Male,61,Delhi,Delhi State,North,Electronics,Keyboard,5,2106,5,10003.5,Cash,5
10001,10-05-2025,C1001,Customer 2,Male,53,Bengaluru,Bengaluru State,South,Electronics,Laptop,2,1891,5,3592.9,Upi,5
10002,10-02-2025,C1002,Customer 3,Female,39,Bengaluru,Bengaluru State,South,Clothing,Jeans,10,2378,0,23780,Credit Card,2
10003,02-04-2025,C1003,Customer 4,Female,20,Mumbai,Mumbai State,West,Furniture,Chair,2,3212,0,6424,Debit Card,5
10004,03-04-2025,C1004,Customer 5,Male,63,Delhi,Delhi State,North,Grocery,Rice,9,2501,20,18007.2,Cash,1
10005,13-03-2025,C1005,Customer 6,Female,28,Mumbai,Mumbai State,West,Furniture,Chair,4,927,15,3151.8,Credit Card,3
10006,04-03-2025,C1006,Customer 7,Female,42,Mumbai,Mumbai State,North,Furniture,Sofa,2,1501,20,2401.6,Credit Card,5
10007,13-04-2025,C1007,Customer 8,Male,31,Mumbai,Mumbai State,West,Furniture,Chair,4,362,10,1303.2,Credit Card,2
10008,05-02-2025,C1008,Customer 9,Female,65,Bengaluru,Bengaluru State,South,Grocery,Oil,8,1270,10,9144,Debit Card,5
10009,24-01-2025,C1009,Customer 10,Male,27,Bengaluru,Bengaluru State,South,Furniture,Chair,3,4274,15,10898.7,Upi,4
10010,16-05-2025,C1010,Customer 11,Male,61,Kolkata,Kolkata State,East,Electronics,Mouse,7,4981,15,29636.95,Cash,5
10011,27-04-2025,C1011,Customer 12,Female,50,Lucknow,Lucknow State,North,Furniture,Chair,5,2516.5,5,17389.75,Upi,5
10012,06-04-2025,C1012,Customer 13,Male,56,Delhi,Delhi State,North,Furniture,Sofa,9,1729,5,14782.95,Credit Card,4
10013,03-03-2025,C1013,Customer 14,Male,23,Delhi,Delhi State,North,Electronics,Mouse,5,2061,0,10305,Debit Card,1
10014,09-03-2025,C1014,Customer 15,Female,31,Kolkata,Kolkata State,East,Clothing,T-Shirt,8,4603,5,34982.8,Upi,3
10015,05-03-2025,C1015,Customer 16,Male,39,Bengaluru,Bengaluru State,South,Furniture,Table,9,3798,0,34182,Cash,5
10016,11-06-2025,C1016,Customer 17,Male,22,Kolkata,Kolkata State,East,Clothing,Jacket,4,158,0,632,Cash,3
10017,19-05-2025,C1017,Customer 18,Female,33,Delhi,Delhi State,North,Sports,Football,5,4076,5,19361,Debit Card,4
